level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2106	1966	-1	
2	1	1	0	0	0	1557	46	205	24	-1	
3	1	1	1	0	0	1557	0	339	224	-1	
4	1	1	1	1	0	1557	46	205	24	-1	
5	1	1	1	1	1	1557	57	77	9	7.142014	wees
5	1	1	1	1	2	1712	46	50	24	57.198330	037
2	1	2	0	0	0	1383	225	45	9	-1	
3	1	2	1	0	0	1383	225	45	9	-1	
4	1	2	1	1	0	1383	225	45	9	-1	
5	1	2	1	1	1	1383	225	45	9	31.197403	wre
2	1	3	0	0	0	1400	250	51	24	-1	
3	1	3	1	0	0	1400	250	51	24	-1	
4	1	3	1	1	0	1400	250	51	24	-1	
5	1	3	1	1	1	1400	250	51	24	96.905716	036
2	1	4	0	0	0	1698	253	8	29	-1	
3	1	4	1	0	0	1698	253	8	29	-1	
4	1	4	1	1	0	1698	253	8	29	-1	
5	1	4	1	1	1	1698	253	8	29	23.420387	iH
2	1	5	0	0	0	1753	250	49	24	-1	
3	1	5	1	0	0	1753	250	49	24	-1	
4	1	5	1	1	0	1753	250	49	24	-1	
5	1	5	1	1	1	1753	250	49	24	95.157005	001
2	1	6	0	0	0	1736	292	75	8	-1	
3	1	6	1	0	0	1736	292	75	8	-1	
4	1	6	1	1	0	1736	292	75	8	-1	
5	1	6	1	1	1	1736	292	22	8	28.842598	Maen
5	1	6	1	1	2	1769	292	42	8	37.724258	24062
2	1	7	0	0	0	1958	287	17	13	-1	
3	1	7	1	0	0	1958	287	17	13	-1	
4	1	7	1	1	0	1958	287	17	13	-1	
5	1	7	1	1	1	1958	287	17	13	6.943527	r
2	1	8	0	0	0	2026	303	70	9	-1	
3	1	8	1	0	0	2026	303	70	9	-1	
4	1	8	1	1	0	2026	303	70	9	-1	
5	1	8	1	1	1	2026	303	24	9	31.472870	Aa
5	1	8	1	1	2	2060	303	36	8	0.000000	Se
2	1	9	0	0	0	1338	330	71	8	-1	
3	1	9	1	0	0	1338	330	71	8	-1	
4	1	9	1	1	0	1338	330	71	8	-1	
5	1	9	1	1	1	1338	319	22	28	37.188763	BER
5	1	9	1	1	2	1380	319	29	28	34.087677	OND
2	1	10	0	0	0	1698	313	7	30	-1	
3	1	10	1	0	0	1698	313	7	30	-1	
4	1	10	1	1	0	1698	313	7	30	-1	
5	1	10	1	1	1	1698	313	7	30	48.424835	0
2	1	11	0	0	0	1880	285	42	37	-1	
3	1	11	1	0	0	1880	285	42	37	-1	
4	1	11	1	1	0	1880	285	42	37	-1	
5	1	11	1	1	1	1880	285	42	37	96.721573	A
2	1	12	0	0	0	1453	323	50	24	-1	
3	1	12	1	0	0	1453	323	50	24	-1	
4	1	12	1	1	0	1453	323	50	24	-1	
5	1	12	1	1	1	1453	323	50	24	90.176277	035
2	1	13	0	0	0	2022	351	50	25	-1	
3	1	13	1	0	0	2022	351	50	25	-1	
4	1	13	1	1	0	2022	351	50	25	-1	
5	1	13	1	1	1	2022	351	50	25	96.832123	002
2	1	14	0	0	0	2008	419	24	9	-1	
3	1	14	1	0	0	2008	419	24	9	-1	
4	1	14	1	1	0	2008	419	24	9	-1	
5	1	14	1	1	1	2008	419	24	9	70.059357	wea
2	1	15	0	0	0	2050	419	34	9	-1	
3	1	15	1	0	0	2050	419	34	9	-1	
4	1	15	1	1	0	2050	419	34	9	-1	
5	1	15	1	1	1	2050	419	34	9	10.473473	roe
2	1	16	0	0	0	1453	425	51	24	-1	
3	1	16	1	0	0	1453	425	51	24	-1	
4	1	16	1	1	0	1453	425	51	24	-1	
5	1	16	1	1	1	1453	425	51	24	96.957664	034
2	1	17	0	0	0	1453	533	50	24	-1	
3	1	17	1	0	0	1453	533	50	24	-1	
4	1	17	1	1	0	1453	533	50	24	-1	
5	1	17	1	1	1	1453	533	50	24	96.751556	033
2	1	18	0	0	0	1544	781	17	8	-1	
3	1	18	1	0	0	1544	781	17	8	-1	
4	1	18	1	1	0	1544	781	17	8	-1	
5	1	18	1	1	1	1544	781	17	8	22.895317	oe
2	1	19	0	0	0	1579	781	39	9	-1	
3	1	19	1	0	0	1579	781	39	9	-1	
4	1	19	1	1	0	1579	781	39	9	-1	
5	1	19	1	1	1	1579	781	39	9	51.947498	23.0900
2	1	20	0	0	0	1719	781	41	8	-1	
3	1	20	1	0	0	1719	781	41	8	-1	
4	1	20	1	1	0	1719	781	41	8	-1	
5	1	20	1	1	1	1719	781	41	8	24.962250	oe
2	1	21	0	0	0	1807	781	76	8	-1	
3	1	21	1	0	0	1807	781	76	8	-1	
4	1	21	1	1	0	1807	781	76	8	-1	
5	1	21	1	1	1	1807	781	24	8	9.689529	MIRA
5	1	21	1	1	2	1841	781	10	8	31.491508	22
5	1	21	1	1	3	1856	781	27	8	0.000000	00OME
2	1	22	0	0	0	1920	781	5	8	-1	
3	1	22	1	0	0	1920	781	5	8	-1	
4	1	22	1	1	0	1920	781	5	8	-1	
5	1	22	1	1	1	1920	781	5	8	0.000000	-
2	1	23	0	0	0	1964	782	10	8	-1	
3	1	23	1	0	0	1964	782	10	8	-1	
4	1	23	1	1	0	1964	782	10	8	-1	
5	1	23	1	1	1	1964	782	10	8	26.223892	©
2	1	24	0	0	0	2039	781	24	8	-1	
3	1	24	1	0	0	2039	781	24	8	-1	
4	1	24	1	1	0	2039	781	24	8	-1	
5	1	24	1	1	1	2039	781	24	8	18.335724	wen
2	1	25	0	0	0	1384	849	50	24	-1	
3	1	25	1	0	0	1384	849	50	24	-1	
4	1	25	1	1	0	1384	849	50	24	-1	
5	1	25	1	1	1	1384	849	50	24	96.983017	032
2	1	26	0	0	0	1555	849	51	24	-1	
3	1	26	1	0	0	1555	849	51	24	-1	
4	1	26	1	1	0	1555	849	51	24	-1	
5	1	26	1	1	1	1555	849	51	24	96.445282	031
2	1	27	0	0	0	1695	849	51	24	-1	
3	1	27	1	0	0	1695	849	51	24	-1	
4	1	27	1	1	0	1695	849	51	24	-1	
5	1	27	1	1	1	1695	849	51	24	96.980705	030
2	1	28	0	0	0	1819	849	49	24	-1	
3	1	28	1	0	0	1819	849	49	24	-1	
4	1	28	1	1	0	1819	849	49	24	-1	
5	1	28	1	1	1	1819	849	49	24	96.977951	029
